depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,rejected_cancellation_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Hagenow,2025-07-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,103,78,0,0,25,25,1.0,21,102,77.76550149917603,5513.634108026717,1907.9463237822508,1.0546355423456735,128,37,41,0.47435897435897434,Gurobi.Optimizer
VLP Hagenow,2025-07-16,CAPACITY_CONSTRAINT_DRIVER_BREAKS,114,86,0,0,28,28,1.0,21,102,90.84180402755737,5569.347682138673,1865.7502194202561,1.1776843042465148,142,42,44,0.4883720930232558,Gurobi.Optimizer
VLP Hagenow,2025-07-17,CAPACITY_CONSTRAINT_DRIVER_BREAKS,99,79,0,0,20,20,1.0,19,102,56.343557596206665,5490.58453675694,2022.8222650093558,0.9532872641627591,119,36,43,0.45569620253164556,Gurobi.Optimizer
VLP Hagenow,2025-07-18,CAPACITY_CONSTRAINT_DRIVER_BREAKS,139,104,0,0,35,35,1.0,26,102,201.98456406593323,7453.482991997254,3109.818205150299,1.1990470200305376,174,48,56,0.46153846153846156,Gurobi.Optimizer
VLP Hagenow,2025-07-19,CAPACITY_CONSTRAINT_DRIVER_BREAKS,107,79,0,0,28,28,1.0,23,102,86.03301095962524,5581.294215753157,2252.6311151057553,1.2500548304845736,135,35,44,0.4430379746835443,Gurobi.Optimizer
VLP Hagenow,2025-07-20,CAPACITY_CONSTRAINT_DRIVER_BREAKS,105,79,0,0,26,26,1.0,20,102,60.31528830528259,5202.21450556956,2041.267897597302,1.1211236648085825,131,44,35,0.5569620253164557,Gurobi.Optimizer
VLP Hagenow,2025-07-21,CAPACITY_CONSTRAINT_DRIVER_BREAKS,104,85,0,0,19,19,1.0,21,102,77.95842409133911,5276.157877146903,1806.2079087010345,1.2085398970717671,123,31,54,0.36470588235294116,Gurobi.Optimizer
VLP Hagenow,2025-07-22,CAPACITY_CONSTRAINT_DRIVER_BREAKS,107,85,0,0,22,22,1.0,20,102,68.58393692970276,6503.861955051531,2444.6181819375706,1.1321256244336009,129,37,48,0.43529411764705883,Gurobi.Optimizer
VLP Hagenow,2025-07-23,CAPACITY_CONSTRAINT_DRIVER_BREAKS,100,84,0,0,16,16,1.0,21,102,51.332250356674194,6050.306170295105,2433.536323524282,1.0985865183245425,116,39,45,0.4642857142857143,Gurobi.Optimizer
VLP Hagenow,2025-07-24,CAPACITY_CONSTRAINT_DRIVER_BREAKS,107,84,0,0,23,23,1.0,20,102,63.75432634353638,5798.652164603973,1980.452188134705,1.0790198021707302,130,38,46,0.4523809523809524,Gurobi.Optimizer
VLP Hagenow,2025-07-25,CAPACITY_CONSTRAINT_DRIVER_BREAKS,103,77,1,0,25,25,0.9871794871794872,19,102,92.12666630744934,5528.196532470198,2067.2322804125456,1.0244721242994115,128,41,37,0.5256410256410257,Gurobi.Optimizer
VLP Hagenow,2025-07-26,CAPACITY_CONSTRAINT_DRIVER_BREAKS,87,69,0,0,18,18,1.0,19,102,30.38145089149475,4795.367341328652,1864.6019594407362,1.2057492445886444,105,37,32,0.5362318840579711,Gurobi.Optimizer
VLP Hagenow,2025-07-27,CAPACITY_CONSTRAINT_DRIVER_BREAKS,75,57,0,0,18,18,1.0,21,102,25.570554971694946,4556.569776899478,2023.9382843400367,0.9201038330457338,93,27,30,0.47368421052631576,Gurobi.Optimizer
VLP Hagenow,2025-07-28,CAPACITY_CONSTRAINT_DRIVER_BREAKS,97,72,0,0,25,25,1.0,17,102,42.11995339393616,4597.040857839644,1830.1870924941845,1.1951137633049946,122,36,36,0.5,Gurobi.Optimizer
VLP Hagenow,2025-07-29,CAPACITY_CONSTRAINT_DRIVER_BREAKS,93,73,1,0,19,19,0.9864864864864865,17,102,37.380451917648315,4909.971813403239,1676.8356739467192,1.0572830136955655,112,43,31,0.581081081081081,Gurobi.Optimizer
VLP Hagenow,2025-07-30,CAPACITY_CONSTRAINT_DRIVER_BREAKS,94,73,0,0,21,21,1.0,0,102,46.403348445892334,0.0,0.0,0.0,115,30,43,0.410958904109589,Gurobi.Optimizer
VLP Hagenow,2025-07-31,CAPACITY_CONSTRAINT_DRIVER_BREAKS,104,83,0,0,21,21,1.0,21,102,51.42047476768494,6228.6222771713265,2557.608911972805,1.1126901736269958,125,32,51,0.3855421686746988,Gurobi.Optimizer
VLP Hagenow,2025-08-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,127,94,0,0,33,33,1.0,19,102,114.49954915046692,6605.917292075686,2483.5282827267165,1.2247929042158463,160,46,48,0.48936170212765956,Gurobi.Optimizer
VLP Hagenow,2025-08-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,66,48,0,0,18,18,1.0,14,102,30.244873523712158,4095.0707590672355,1949.9992215336097,1.0755093271061906,84,21,27,0.4375,Gurobi.Optimizer
VLP Hagenow,2025-08-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,70,49,0,0,21,21,1.0,13,102,21.002774477005005,3258.8146381915085,1390.7911384374759,1.187210052902261,91,21,28,0.42857142857142855,Gurobi.Optimizer
VLP Hagenow,2025-08-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,109,86,0,0,23,23,1.0,18,102,58.0837287902832,6113.744349930095,2534.5268139115974,1.241548817732109,132,51,35,0.5930232558139535,Gurobi.Optimizer
VLP Hagenow,2025-08-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,93,69,0,0,24,24,1.0,20,102,103.31902813911438,5244.985948133896,1878.877317366209,1.0993335923396377,117,34,35,0.4927536231884058,Gurobi.Optimizer
VLP Hagenow,2025-08-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,99,72,0,0,27,27,1.0,17,102,66.67615818977356,5373.067047183587,2283.9664308007873,1.00138178112787,126,41,31,0.5694444444444444,Gurobi.Optimizer
VLP Hagenow,2025-08-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,116,82,0,0,34,34,1.0,19,102,103.40811371803284,6182.827151077968,2509.5194153031093,1.0708706082079642,150,43,39,0.524390243902439,Gurobi.Optimizer
VLP Hagenow,2025-08-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,102,73,0,0,29,29,1.0,16,102,47.02067589759827,5108.502702742845,2018.5594854917758,1.113410391394931,131,40,33,0.547945205479452,Gurobi.Optimizer
VLP Hagenow,2025-08-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,96,68,0,0,28,28,1.0,18,102,63.7931067943573,4748.747818079549,1905.085524926114,1.3415617631006374,124,19,49,0.27941176470588236,Gurobi.Optimizer
VLP Hagenow,2025-08-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,68,40,0,0,28,28,1.0,12,102,29.135653972625732,3036.924018633072,1225.8963084770483,1.0709485448394769,96,27,13,0.675,Gurobi.Optimizer
VLP Hagenow,2025-08-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,88,66,1,0,21,21,0.9850746268656716,16,102,34.68667197227478,4929.025814568581,2061.8533007995757,1.0111521285545153,109,42,25,0.6268656716417911,Gurobi.Optimizer
VLP Hagenow,2025-08-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,99,80,0,0,19,19,1.0,17,102,61.30503845214844,5798.005966668266,2305.7029045965965,1.0699011281886752,118,40,40,0.5,Gurobi.Optimizer
VLP Hagenow,2025-08-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,90,76,0,0,14,14,1.0,18,102,45.5486843585968,5167.397572595357,1942.0507143220084,1.0639996007345844,104,39,37,0.5131578947368421,Gurobi.Optimizer
VLP Hagenow,2025-08-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,79,61,0,0,18,18,1.0,15,102,42.98496651649475,4733.233162262174,2080.6732633158745,1.0714166245570522,97,35,26,0.5737704918032787,Gurobi.Optimizer
VLP Hagenow,2025-08-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,79,61,0,0,18,18,1.0,15,102,39.70525622367859,4515.319832243173,1766.3269072091994,1.0079811291759087,97,37,24,0.6065573770491803,Gurobi.Optimizer
