depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Boizenburg,2025-07-19,CAPACITY_CONSTRAINT_DRIVER_BREAKS,103,102,1,0.9902912621359223,19,102,58.298821210861206,5826.797593146696,2158.525794809019,1.113223749078893,103,47,56,0.4563106796116505,Gurobi.Optimizer
VLP Boizenburg,2025-07-20,CAPACITY_CONSTRAINT_DRIVER_BREAKS,74,74,0,1.0,13,102,33.59795141220093,3950.533865966994,1418.6931700364566,1.3784030764315,74,46,27,0.6301369863013698,Gurobi.Optimizer
VLP Boizenburg,2025-07-21,CAPACITY_CONSTRAINT_DRIVER_BREAKS,118,117,1,0.9915254237288136,25,102,67.77254867553711,6869.214017168878,2598.4565213661417,1.3215722688952147,118,60,58,0.5084745762711864,Gurobi.Optimizer
VLP Boizenburg,2025-07-22,CAPACITY_CONSTRAINT_DRIVER_BREAKS,119,116,3,0.9747899159663865,22,102,70.46638059616089,7233.7222218429415,3227.7571024157073,1.2652691534514864,119,66,53,0.5546218487394958,Gurobi.Optimizer
VLP Boizenburg,2025-07-23,CAPACITY_CONSTRAINT_DRIVER_BREAKS,95,95,0,1.0,22,102,43.75509786605835,6172.722112213835,2388.331920479526,1.1668442214422494,95,45,50,0.47368421052631576,Gurobi.Optimizer
VLP Boizenburg,2025-07-24,CAPACITY_CONSTRAINT_DRIVER_BREAKS,96,96,0,1.0,22,102,43.89331078529358,6146.17410706691,2224.0913583562524,1.0354793924154662,96,56,40,0.5833333333333334,Gurobi.Optimizer
VLP Boizenburg,2025-07-25,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,82,9,0.9010989010989011,16,102,44.159953355789185,4985.740326927142,2082.598041645381,1.3000502647103118,91,71,20,0.7802197802197802,Gurobi.Optimizer
VLP Boizenburg,2025-07-26,CAPACITY_CONSTRAINT_DRIVER_BREAKS,83,82,1,0.9879518072289156,14,102,22.550217866897583,4351.162730179928,1662.110013849685,1.6344278453493852,83,65,18,0.7831325301204819,Gurobi.Optimizer
VLP Boizenburg,2025-07-27,CAPACITY_CONSTRAINT_DRIVER_BREAKS,54,54,0,1.0,16,102,11.36916470527649,3800.953596281932,1317.5632383537882,0.9932242190051683,54,41,13,0.7592592592592593,Gurobi.Optimizer
VLP Boizenburg,2025-07-28,CAPACITY_CONSTRAINT_DRIVER_BREAKS,92,92,0,1.0,19,102,40.370858669281006,4912.303350352391,1860.1162577681264,1.3801947617851165,92,56,36,0.6086956521739131,Gurobi.Optimizer
