depot_name,date,problem_type,setting,subsetting,service_level,solver_status,solve_time,num_buses,num_potential_buses,total_operational_duration,total_waiting_time,avg_capacity_utilization,optimality_gap,filter_demand
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.71,Optimal,1.9691340923309326,5,102,2324.795927918624,1218.4205766868572,1.8922977305814712,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.72,Optimal,1.9826548099517822,5,102,2324.795927918624,1218.4205766868572,1.8922977305814712,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.73,Optimal,1.614431619644165,5,102,2337.365279822207,1294.834718500145,1.9578920603190368,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.74,Optimal,1.611339807510376,5,102,2337.365279822207,1294.834718500145,1.9578920603190368,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.75,Optimal,1.6171534061431885,5,102,2337.365279822207,1294.834718500145,1.9578920603190368,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.76,Optimal,2.231058120727539,5,102,1968.786136977702,890.9424236382154,1.9245027795287626,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.77,Optimal,2.2394237518310547,5,102,1968.786136977702,890.9424236382154,1.9245027795287626,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.78,Optimal,2.045532703399658,5,102,2226.8298975135926,1119.8715889732746,1.898747013795336,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.79,Optimal,2.03938889503479,5,102,2226.8298975135926,1119.8715889732746,1.898747013795336,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.8,Optimal,3.3400967121124268,6,102,2476.20034776055,1225.6193041920246,1.7576090947520342,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.81,Optimal,3.3515968322753906,6,102,2476.20034776055,1225.6193041920246,1.7576090947520342,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.82,Optimal,2.421128273010254,6,102,2471.2424697324163,1244.4822646607856,1.8659346063226518,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.83,Optimal,2.415898323059082,6,102,2471.2424697324163,1244.4822646607856,1.8659346063226518,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.84,Optimal,1.969818115234375,6,102,2722.096184440024,1400.068229613932,1.9270303454374387,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.85,Optimal,1.9724700450897217,6,102,2722.096184440024,1400.068229613932,1.9270303454374387,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.86,Optimal,1.8539259433746338,7,102,2998.1754442612223,1584.2919958858624,2.0263607616691255,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.87,Optimal,1.8422350883483887,7,102,2998.1754442612223,1584.2919958858624,2.0263607616691255,0.0,true
